date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900911,72,None,63,None,40,81,None,99,0.0,None,5.63
19900912,69,None,63,None,43,75,None,93,0.0,None,2.95
19900913,68,None,63,None,45,73,None,93,0.05,None,2.3
19900914,70,None,66,None,40,73,None,92,0.0,None,2.46
19900915,70,None,63,None,41,77,None,94,0.39,None,3.48
19900916,62,None,55,None,42,68,None,96,0.0,None,5.63
19900917,54,None,50,None,44,59,None,91,0.1,None,2.77
19900918,51,None,45,None,43,57,None,90,0.0,None,2.87
19900919,55,None,46,None,42,64,None,92,0.03,None,1.21
19900920,62,None,55,None,42,70,None,97,0.15,None,2.82
19900921,58,None,52,None,40,64,None,94,0.0,None,2.77
19900922,60,None,55,None,35,64,None,94,0.53,None,1.88
19900923,64,None,57,None,35,70,None,96,0.0,None,2.64
19900924,56,None,52,None,39,59,None,90,0.0,None,1.25
19900925,59,None,48,None,38,70,None,89,0.0,None,2.9
19900926,63,None,55,None,34,71,None,95,0.0,None,2.12
19900927,63,None,57,None,37,69,None,86,0.0,None,2.37
19900928,66,None,57,None,37,75,None,90,0.0,None,1.88
19900929,70,None,61,None,34,78,None,88,0.0,None,2.83
19900930,68,None,60,None,36,75,None,87,0.0,None,2.46
19901001,60,None,55,None,36,66,None,90,0.04,None,1.63
19901002,58,None,52,None,34,64,None,88,0.0,None,2.81
19901003,58,None,46,None,35,69,None,85,0.0,None,1.48
19901004,64,None,54,None,34,75,None,86,0.47,None,1.57
19901005,62,None,52,None,28,71,None,87,0.0,None,4.0
19901006,74,None,62,None,31,86,None,86,0.0,None,3.0
19901007,74,None,64,None,30,84,None,90,0.0,None,2.3
19901008,65,None,55,None,35,75,None,88,0.0,None,2.0
19901009,62,None,55,None,32,69,None,87,0.08,None,2.06
19901010,62,None,54,None,32,69,None,87,0.01,None,1.3
19901011,58,None,54,None,32,62,None,82,0.01,None,0.85
19901012,64,None,60,None,31,68,None,90,0.0,None,2.93
19901013,68,None,64,None,30,73,None,87,0.57,None,4.85
19901014,70,None,64,None,31,75,None,81,3.34,None,3.34
19901015,68,None,60,None,31,77,None,86,0.0,None,3.23
19901016,58,None,53,None,30,64,None,88,0.0,None,2.64
19901017,58,None,46,None,27,70,None,89,0.0,None,1.18
19901018,66,None,61,None,31,72,None,82,0.0,None,3.13
19901019,58,None,46,None,28,71,None,84,1.21,None,2.06
19901020,50,None,42,None,32,59,None,79,0.0,None,6.11
19901021,50,None,39,None,30,62,None,82,0.0,None,1.78
19901022,60,None,51,None,28,70,None,83,0.0,None,1.53
19901023,60,None,55,None,29,64,None,84,0.55,None,2.33
19901024,60,None,51,None,30,68,None,80,0.71,None,2.13
19901025,50,None,46,None,26,54,None,80,0.0,None,1.84
19901026,46,None,43,None,25,48,None,84,0.04,None,1.74
19901027,41,None,34,None,25,48,None,85,0.0,None,1.95
19901028,46,None,37,None,28,55,None,81,0.33,None,2.02
19901029,42,None,36,None,26,48,None,79,0.0,None,1.49
19901030,46,None,35,None,28,57,None,78,0.0,None,1.68
19901031,50,None,44,None,27,57,None,81,0.0,None,2.54
19901101,54,None,44,None,26,63,None,77,0.0,None,2.67
19901102,60,None,48,None,26,73,None,83,0.0,None,1.74
19901103,69,None,63,None,27,75,None,76,0.0,None,1.75
19901104,70,None,62,None,21,77,None,78,0.0,None,2.18
19901105,54,None,46,None,17,62,None,79,0.0,None,2.24
19901106,52,None,46,None,21,57,None,73,0.57,None,1.58
19901107,44,None,39,None,25,48,None,77,0.0,None,2.54
19901108,41,None,35,None,25,46,None,74,0.03,None,1.95
19901109,41,None,32,None,24,50,None,74,0.0,None,2.01
19901110,52,None,43,None,24,62,None,78,0.56,None,2.33
19901111,44,None,41,None,23,46,None,69,0.01,None,1.1
19901112,40,None,33,None,25,45,None,76,0.0,None,3.11
19901113,34,None,28,None,14,41,None,69,0.0,None,1.65
19901114,38,None,30,None,16,46,None,71,0.0,None,1.49
19901115,54,None,37,None,17,70,None,78,0.0,None,1.41
19901116,64,None,52,None,12,75,None,76,0.0,None,1.69
19901117,52,None,41,None,14,63,None,76,0.02,None,1.65
19901118,41,None,37,None,14,45,None,73,0.01,None,3.09
19901119,40,None,36,None,14,43,None,75,0.0,None,1.71
19901120,43,None,35,None,15,51,None,74,0.0,None,3.85
19901121,42,None,37,None,10,48,None,74,0.0,None,2.31
19901122,38,None,32,None,9,45,None,74,0.0,None,2.18
19901123,45,None,39,None,11,51,None,77,0.09,None,3.31
19901124,46,None,39,None,11,52,None,72,0.06,None,2.11
19901125,50,None,37,None,13,63,None,70,0.0,None,2.76
19901126,45,None,39,None,12,51,None,67,0.0,None,1.79
19901127,48,None,39,None,8,57,None,72,0.0,None,1.79
19901128,62,None,52,None,11,73,None,74,0.0,None,1.98
19901129,56,None,42,None,8,69,None,69,0.04,None,2.34
19901130,38,None,33,None,-2,41,None,69,0.0,None,2.17
19901201,43,None,32,None,0,54,None,71,0.0,None,1.35
19901202,50,None,42,None,4,57,None,65,0.0,None,1.63
19901203,38,None,33,None,0,42,None,69,0.0,None,1.82
19901204,51,None,41,None,2,61,None,70,1.07,None,2.15
19901205,34,None,30,None,4,39,None,66,0.0,None,2.76
19901206,36,None,28,None,8,43,None,72,0.04,None,2.91
19901207,41,None,37,None,4,45,None,76,0.01,None,1.6
19901208,42,None,37,None,-4,45,None,65,0.06,None,1.33
19901209,40,None,34,None,-8,46,None,70,0.0,None,2.9
19901210,40,None,28,None,-1,53,None,64,0.0,None,2.58
19901211,30,None,24,None,-2,37,None,68,0.0,None,1.52
19901212,36,None,32,None,2,41,None,68,0.0,None,4.21
19901213,49,None,39,None,4,59,None,63,0.0,None,1.67
19901214,34,None,25,None,0,42,None,66,0.0,None,1.99
19901215,36,None,25,None,-2,48,None,66,0.4,None,1.51
19901216,39,None,35,None,1,43,None,64,0.26,None,1.81
19901217,40,None,33,None,-4,46,None,64,0.0,None,2.82
19901218,48,None,36,None,-6,60,None,61,0.17,None,1.44
19901219,49,None,39,None,-10,57,None,64,0.0,None,1.35
19901220,34,None,30,None,-11,39,None,63,0.0,None,1.35
19901221,43,None,36,None,-5,52,None,65,0.05,None,1.91
19901222,58,None,55,None,1,62,None,62,0.05,None,1.31
19901223,60,None,55,None,-12,66,None,67,0.03,None,1.22
19901224,45,None,28,None,0,60,None,69,0.44,None,1.33
19901225,26,None,23,None,-8,30,None,65,0.0,None,0.89
19901226,30,None,24,None,-4,36,None,61,0.0,None,3.51
19901227,22,None,18,None,0,25,None,61,0.0,None,2.32
19901228,31,None,25,None,-2,37,None,63,0.39,None,1.7
19901229,38,None,30,None,-17,46,None,73,0.01,None,1.32
19901230,52,None,44,None,-15,59,None,63,0.11,None,2.08
19901231,39,None,21,None,-8,57,None,65,0.05,None,1.68
19910101,24,None,19,None,-3,30,None,70,0.0,None,1.4
19910102,38,None,27,None,-3,48,None,66,0.0,None,2.24
19910103,34,None,28,None,-1,39,None,64,0.0,None,1.51
19910104,30,None,26,None,-4,33,None,64,0.0,None,1.57
19910105,30,None,25,None,-4,36,None,63,0.0,None,1.66
19910106,36,None,34,None,-10,39,None,69,0.0,None,1.76
19910107,26,None,18,None,-2,34,None,63,0.0,None,1.67
19910108,18,None,12,None,-6,25,None,67,0.0,None,1.47
