date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900701,82,None,73,None,67,91,None,100,0.0,None,3.92
19900702,85,None,75,None,68,95,None,101,0.0,None,4.97
19900703,83,None,73,None,69,93,None,99,0.0,None,2.05
19900704,83,None,75,None,69,91,None,100,0.0,None,6.0
19900705,80,None,75,None,70,86,None,103,0.13,None,2.79
19900706,83,None,75,None,68,91,None,100,0.56,None,2.12
19900707,84,None,77,None,68,91,None,100,0.0,None,7.07
19900708,85,None,75,None,70,95,None,105,0.0,None,1.38
19900709,86,None,78,None,66,93,None,103,0.0,None,2.42
19900710,85,None,77,None,66,93,None,100,0.0,None,2.23
19900711,84,None,77,None,70,91,None,100,0.0,None,3.43
19900712,82,None,75,None,68,88,None,101,0.29,None,4.25
19900713,83,None,75,None,68,91,None,101,0.0,None,2.63
19900714,77,None,66,None,66,88,None,101,0.0,None,1.77
19900715,78,None,69,None,64,88,None,101,0.0,None,2.85
19900716,76,None,73,None,64,79,None,103,0.4,None,2.13
19900717,81,None,75,None,66,87,None,104,0.0,None,3.26
19900718,80,None,73,None,66,87,None,100,0.06,None,2.62
19900719,82,None,75,None,70,88,None,100,0.0,None,1.35
19900720,81,None,75,None,70,87,None,100,0.01,None,2.32
19900721,81,None,73,None,70,89,None,99,0.0,None,1.07
19900722,83,None,75,None,70,91,None,99,0.0,None,1.02
19900723,80,None,75,None,69,84,None,101,0.48,None,2.9
19900724,83,None,75,None,69,91,None,101,0.0,None,3.98
19900725,84,None,75,None,68,93,None,101,0.0,None,4.88
19900726,83,None,73,None,68,93,None,104,0.0,None,5.51
19900727,84,None,75,None,68,93,None,99,0.0,None,5.45
19900728,86,None,78,None,71,93,None,101,0.0,None,1.55
19900729,84,None,75,None,68,93,None,102,0.0,None,1.9
19900730,83,None,73,None,69,93,None,101,0.17,None,2.28
19900731,82,None,73,None,67,91,None,101,0.05,None,1.61
19900801,83,None,75,None,69,91,None,101,0.0,None,8.58
19900802,82,None,75,None,67,88,None,101,0.05,None,1.62
19900803,84,None,75,None,68,93,None,100,0.0,None,1.09
19900804,86,None,75,None,69,96,None,100,0.0,None,4.16
19900805,86,None,77,None,69,95,None,100,0.01,None,1.99
19900806,86,None,75,None,68,97,None,101,0.0,None,1.31
19900807,82,None,75,None,69,90,None,102,0.0,None,1.3
19900808,80,None,72,None,70,89,None,102,0.0,None,1.26
19900809,83,None,73,None,66,93,None,105,0.0,None,2.33
19900810,83,None,75,None,67,91,None,104,0.22,None,1.38
19900811,84,None,72,None,69,95,None,104,0.0,None,2.61
19900812,83,None,75,None,62,91,None,102,0.0,None,2.02
19900813,83,None,73,None,63,93,None,106,0.0,None,2.73
19900814,83,None,75,None,67,91,None,101,0.0,None,4.18
19900815,84,None,75,None,66,93,None,101,0.0,None,5.52
19900816,85,None,77,None,65,93,None,100,0.0,None,2.16
19900817,84,None,73,None,66,95,None,102,0.0,None,2.17
19900818,85,None,77,None,67,93,None,102,0.01,None,0.93
19900819,85,None,75,None,69,95,None,103,0.02,None,3.58
